election_year,Total_Eligible_Voters,Total_Voters,Total_Valid_Votes,Turnout_Rate,Valid_Vote_Rate,CDU_Votes,CSU_Votes,SPD_Votes,Greens_Votes,FDP_Votes,Left_Votes,AfD_Votes,CDU_Percent,CSU_Percent,SPD_Percent,Greens_Percent,FDP_Percent,Left_Percent,AfD_Percent,CDU/CSU,SPD,GRÃœNE,FDP,LINKE,AfD,Sonstige,election_date
1980,43231741,38292176,37938981,0.885742168005679,0.9907763142005824,12989200,3908459,16260677,569589,4030999,0,0,0.3423708190791946,0.10301960930368688,0.4286007839799387,0.015013292001701364,0.1062495326376847,0,0,0.44539042838288145,0.4286007839799387,0.015013292001701364,0.1062495326376847,0,0,0.00474596299779384,1980-10-05
1983,44088935,39279529,38940687,0.8909158046117467,0.9913735727330132,14857680,4140865,14865807,2167431,2706942,0,0,0.3815464272625699,0.10633774899759729,0.3817551292816175,0.055659803844754975,0.06951449007563734,0,0,0.48788417626016717,0.3817551292816175,0.055659803844754975,0.06951449007563734,0,0,0.005186400537823044,1983-03-06
1987,45327982,38225294,37867319,0.8433045618487935,0.9906351276199471,13045745,3715827,14026242,3126259,3440457,0,0,0.3445119787857176,0.09812754370067762,0.37040493941490815,0.08255823445013363,0.09085557390529812,0,0,0.4426395224863952,0.37040493941490815,0.08255823445013363,0.09085557390529812,0,0,0.013541729743264952,1987-01-25
1990,60436560,46995915,46455772,0.777607378712488,0.9885065967967641,17055116,3302980,15545366,2347407,5123233,1129578,0,0.36712587619897913,0.0710994534758781,0.33462722350195795,0.050529931996394335,0.11028194731108978,0.024315127084746327,0,0.4382253296748572,0.33462722350195795,0.050529931996394335,0.11028194731108978,0.024315127084746327,0,0.04202044043095443,1990-12-02
1994,60452009,47737999,47105174,0.7896842435790679,0.9867437887373537,16089960,3427196,17140354,3424315,3258407,2066176,0,0.3415752163445994,0.07275625390960237,0.36387412558968574,0.0726950928999859,0.06917301695987792,0.04386303721115647,0,0.4143314702542018,0.36387412558968574,0.0726950928999859,0.06917301695987792,0.04386303721115647,0,0.03606325708509217,1994-10-16
1998,60762751,49947087,49308512,0.8220017391905117,0.9872149701142732,14004908,3324480,20181269,3301624,3080955,2515454,0,0.2840261738176159,0.06742203050053508,0.4092857030445372,0.06695849998474908,0.062483228047928115,0.05101459966993123,0,0.351448204318151,0.4092857030445372,0.06695849998474908,0.062483228047928115,0.05101459966993123,0,0.058809764934703246,1998-09-27
2002,61432868,48582761,47996480,0.7908268420741809,0.9879323243897151,14167561,4315080,18488668,4110355,3538815,1916702,0,0.2951791673056024,0.08990409296681756,0.38520883198101197,0.08563867600290688,0.07373071941942409,0.03993422017614625,0,0.38508326027241996,0.38520883198101197,0.08563867600290688,0.07373071941942409,0.03993422017614625,0,0.030404292148090817,2002-09-22
2005,61870711,48044134,47287988,0.7765246790197707,0.9842614292933244,13136740,3494309,16194665,3838326,4648144,4118194,0,0.2778028957374968,0.07389422024045514,0.342468895060623,0.08116915441612783,0.09829439137905381,0.08708752844379845,0,0.35169711597795195,0.342468895060623,0.08116915441612783,0.09829439137905381,0.08708752844379845,0,0.03928291472244494,2005-09-18
2009,62168489,44005575,43371190,0.707843727712282,0.9855839856654526,11828277,2830238,9990488,4643272,6316080,5155933,0,0.27272198434029593,0.06525617581625037,0.2303484870947742,0.10705890246497733,0.14562846903670384,0.11887921452005352,0,0.3379781601565463,0.2303484870947742,0.10705890246497733,0.14562846903670384,0.11887921452005352,0,0.060106766726944705,2009-09-27
2013,61946900,44309925,43726856,0.7152888199409494,0.9868411196814257,14921877,3243569,11252215,3694057,2083533,3755699,2056985,0.3412519985429549,0.07417796056501295,0.257329614550838,0.08448027912182847,0.047648817925532994,0.08588998486422166,0.04704168532034409,0.41542995910796787,0.257329614550838,0.08448027912182847,0.047648817925532994,0.08588998486422166,0.04704168532034409,0.06217965910926693,2013-09-22
2017,61688485,46976341,46515492,0.7615090725603003,0.9901897638217502,12447656,2869688,9539381,4158400,4999449,4297270,5878115,0.26760237213012816,0.06169316665510063,0.20507965389251392,0.08939817297858528,0.1074792243410002,0.09238362995279079,0.1263689740183765,0.32929553878522877,0.20507965389251392,0.08939817297858528,0.1074792243410002,0.09238362995279079,0.1263689740183765,0.049994806031504524,2017-09-24
2021,61181072,46854508,46442023,0.7658333937005877,0.9911964714259724,8775471,2402827,11955434,6852206,5319952,2270906,4803902,0.1889553992942986,0.05173820701135263,0.2574270720291405,0.14754322825256772,0.11455039329359103,0.04889765460905956,0.10343868956785109,0.24069360630565123,0.2574270720291405,0.14754322825256772,0.11455039329359103,0.04889765460905956,0.10343868956785109,0.08744935594213887,2021-09-26
